locality,zone,bhk,total_sqft,bathrooms,balconies,age_years,floor_no,total_floors,property_type,amenities_score,parking,distance_to_it_park_km,price_lakhs
Viman Nagar,IT Corridor,2,1076.2,3,2.0,8,1,6,Apartment,2,1,7.9,96.62
Boat Club Road,Premium West,2,1034.2,2,3.0,5,16,26,Builder Floor,5,1,6.7,172.76
Kalyani Nagar,Premium West,2,1326.1,3,1.0,12,1,7,Apartment,3,1,1.2,214.2
Moshi,Outskirts,2,1145.6,3,1.0,2,13,13,Apartment,5,1,6.4,101.11
Shivaji Nagar,Central,1,691.1,2,2.0,8,2,4,Apartment,1,1,8.9,64.25
Narayan Peth,Central,5,3251.6,5,0.0,8,14,15,Apartment,1,1,9.9,283.93
Viman Nagar,IT Corridor,2,1188.4,2,2.0,5,1,28,Apartment,4,1,6.8,122.24
Moshi,Outskirts,3,1478.8,3,3.0,8,20,22,Apartment,0,1,4.3,78.26
Kiwale,Outskirts,3,1566.3,4,2.0,3,10,19,Apartment,1,1,10.6,93.67
Bavdhan,Mid-tier,4,1697.2,4,1.0,2,1,15,Apartment,3,1,9.7,211.97
Somwar Peth,Central,2,1331.4,2,1.0,5,0,19,Builder Floor,4,1,8.5,102.89
Shivaji Nagar,Central,2,1219.3,3,1.0,1,7,29,Builder Floor,5,1,4.4,127.02
Narhe,Outskirts,2,916.9,2,3.0,12,6,21,Apartment,1,1,5.4,48.05
Bavdhan,Mid-tier,5,2764.2,5,2.0,3,14,16,Apartment,3,0,1.9,290.72
Chinchwad,Outskirts,3,1855.9,4,1.0,1,5,23,Builder Floor,4,1,2.7,139.97
Kalyani Nagar,Premium West,3,1397.8,4,1.0,5,1,5,Apartment,2,1,3.2,365.59
Boat Club Road,Premium West,2,1049.9,2,0.0,8,5,5,Apartment,4,0,4.7,204.59
Chinchwad,Outskirts,3,1839.8,4,2.0,0,22,23,Apartment,3,1,2.0,108.74
Somwar Peth,Central,2,873.5,3,2.0,2,12,29,Apartment,1,0,5.0,97.24
Pashan,Premium West,1,814.9,1,1.0,5,3,17,Apartment,3,1,11.0,127.31
Bavdhan,Mid-tier,4,2282.8,4,2.0,8,14,15,Builder Floor,2,1,8.2,158.94
Camp,Central,1,732.3,2,1.0,25,9,28,Apartment,1,1,3.1,39.11
Camp,Central,3,1637.7,3,1.0,1,0,3,Apartment,0,1,5.1,141.76
Hadapsar,Outskirts,5,2103.6,5,2.0,5,26,29,Apartment,5,0,16.1,146.66
Bavdhan,Mid-tier,2,783.6,2,0.0,3,14,18,Villa,0,1,5.0,89.66
Undri,Outskirts,2,991.1,3,1.0,5,1,16,Apartment,1,1,1.0,52.98
Aundh,Premium West,4,1801.2,5,3.0,0,16,16,Builder Floor,5,1,5.7,268.44
Wakad,Mid-tier,1,759.8,1,0.0,2,2,5,Builder Floor,0,1,7.9,61.32
Undri,Outskirts,4,2499.2,4,2.0,12,12,25,Apartment,1,1,11.8,171.18
Hadapsar,Outskirts,2,1052.2,2,1.0,3,3,5,Apartment,0,1,6.0,73.55
Narhe,Outskirts,3,1676.9,3,1.0,8,7,19,Apartment,3,1,23.3,100.94
Somwar Peth,Central,1,558.4,1,1.0,1,13,16,Builder Floor,0,0,9.1,39.25
Hadapsar,Outskirts,2,678.8,2,2.0,3,3,8,Apartment,3,1,0.5,52.31
Kalyani Nagar,Premium West,5,3002.2,6,,5,7,11,Apartment,2,1,10.7,757.67
Narhe,Outskirts,3,1462.7,3,1.0,0,8,23,Apartment,0,1,5.7,85.45
Chinchwad,Outskirts,2,1428.5,2,2.0,5,3,8,Apartment,5,1,5.0,98.62
Moshi,Outskirts,3,1328.1,4,1.0,5,4,21,Apartment,4,1,7.5,85.26
Swargate,Central,2,960.2,2,3.0,25,21,24,Apartment,5,1,2.3,61.46
Koregaon Park,Premium West,1,782.9,2,1.0,0,11,24,Apartment,5,0,4.8,170.57
Koregaon Park,Premium West,3,1672.2,3,1.0,3,9,24,Apartment,2,1,2.1,327.64
Swargate,Central,2,1130.6,3,2.0,2,5,17,Apartment,3,0,5.7,78.74
Kondhwa,Outskirts,2,829.0,2,3.0,0,10,14,Apartment,4,1,2.5,52.97
Kothrud,IT Corridor,3,1481.2,3,2.0,5,5,20,Builder Floor,0,1,6.5,165.97
Chinchwad,Outskirts,4,2113.9,4,2.0,3,1,10,Apartment,5,0,3.5,147.35
Kalyani Nagar,Premium West,3,2125.3,4,3.0,0,15,21,Apartment,2,1,1.4,340.77
Sinhgad Road,Outskirts,2,1120.8,3,2.0,2,17,27,Villa,3,1,8.4,107.37
Narhe,Outskirts,2,1067.6,3,0.0,3,4,7,Apartment,4,1,6.1,55.41
Moshi,Outskirts,3,1518.5,4,1.0,5,5,22,Apartment,2,1,9.0,103.61
Wakad,Mid-tier,2,1041.4,2,1.0,5,8,29,Apartment,0,1,0.1,104.73
Wakad,Mid-tier,4,2464.4,4,3.0,5,9,9,Builder Floor,5,1,7.6,243.88
Ravet,Mid-tier,3,1665.7,3,2.0,25,13,29,Apartment,1,1,0.3,114.36
Magarpatta,Mid-tier,5,2272.5,6,1.0,3,3,17,Apartment,4,1,2.2,292.08
Hinjewadi,Mid-tier,2,1173.9,2,2.0,5,10,13,Apartment,5,1,7.9,128.51
Kharadi,IT Corridor,2,1168.2,2,1.0,8,18,18,Builder Floor,3,1,5.1,135.72
Chinchwad,Outskirts,2,1033.1,3,1.0,5,6,24,Villa,4,0,5.0,112.22
Sinhgad Road,Outskirts,3,1668.7,4,3.0,25,5,7,Apartment,0,0,3.5,79.28
Hinjewadi,Mid-tier,2,1113.7,3,1.0,3,0,3,Apartment,5,1,5.3,81.51
Moshi,Outskirts,2,930.6,3,1.0,25,10,19,Builder Floor,0,1,2.3,40.3
Kharadi,IT Corridor,4,2070.3,5,2.0,3,13,24,Apartment,3,1,4.8,352.03
Koregaon Park,Premium West,4,1872.3,5,0.0,18,2,13,Apartment,1,1,10.3,299.42
Wagholi,Outskirts,2,1175.3,3,3.0,1,1,18,Villa,4,0,13.4,94.94
Baner,Premium West,3,1837.8,3,2.0,0,0,6,Builder Floor,1,1,5.3,208.85
Magarpatta,Mid-tier,2,1185.7,3,2.0,18,1,5,Apartment,5,0,6.6,115.49
Camp,Central,4,2330.7,4,0.0,25,4,17,Apartment,0,1,2.1,140.89
Somwar Peth,Central,3,1451.0,4,2.0,5,1,11,Apartment,5,0,4.3,96.98
Kondhwa,Outskirts,4,1419.0,4,2.0,1,10,10,Apartment,1,1,11.4,137.81
Sinhgad Road,Outskirts,4,2238.8,4,1.0,5,12,18,Apartment,4,1,4.5,150.87
Undri,Outskirts,3,1604.8,3,3.0,12,27,27,Apartment,4,1,3.4,92.01
Undri,Outskirts,2,1004.7,2,1.0,12,12,12,Apartment,2,1,0.4,78.06
Kondhwa,Outskirts,2,640.3,3,2.0,8,4,11,Villa,3,1,4.2,61.61
Pashan,Premium West,3,887.6,3,2.0,3,16,22,Apartment,1,0,5.7,131.43
Kondhwa,Outskirts,1,627.3,1,2.0,2,13,20,Apartment,1,0,0.2,64.11
Hinjewadi,Mid-tier,3,1240.4,4,2.0,25,3,11,Apartment,2,1,2.5,82.41
Kalyani Nagar,Premium West,2,1030.7,2,0.0,3,19,22,Builder Floor,0,1,6.5,188.19
Viman Nagar,IT Corridor,4,2006.2,4,1.0,8,9,15,Apartment,5,1,10.5,231.31
NIBM Road,Outskirts,2,1118.8,2,2.0,18,18,20,Apartment,1,1,6.9,89.89
NIBM Road,Outskirts,2,984.9,2,1.0,1,27,28,Builder Floor,0,1,3.0,80.04
Undri,Outskirts,2,988.3,3,1.0,12,12,19,Apartment,3,0,2.5,45.26
Shivaji Nagar,Central,2,930.4,2,,18,2,8,Apartment,1,1,7.5,78.69
Chinchwad,Outskirts,3,1679.6,3,1.0,3,5,20,Apartment,5,1,12.8,136.4
Moshi,Outskirts,3,1596.9,3,2.0,3,2,16,Apartment,2,1,0.7,104.14
Boat Club Road,Premium West,3,1528.5,3,3.0,5,11,19,Apartment,2,1,3.6,269.35
Pashan,Premium West,3,1717.0,4,1.0,2,3,6,Apartment,3,1,13.1,248.6
Kothrud,IT Corridor,2,1090.9,2,1.0,25,5,16,Apartment,4,1,8.5,120.39
Narhe,Outskirts,4,2458.5,5,1.0,2,22,28,Villa,4,1,2.5,226.93
Bavdhan,Mid-tier,2,869.6,2,2.0,8,2,4,Apartment,3,1,9.3,64.29
Baner,Premium West,2,955.7,2,0.0,8,0,6,Apartment,2,1,4.3,152.82
Swargate,Central,2,1063.5,3,2.0,5,5,6,Apartment,1,1,4.7,78.87
Narayan Peth,Central,3,1358.2,3,1.0,5,5,26,Apartment,4,0,0.7,96.09
Undri,Outskirts,2,1042.5,2,0.0,5,10,12,Builder Floor,4,1,2.9,64.08
Sinhgad Road,Outskirts,1,655.3,2,1.0,3,8,18,Apartment,0,1,2.2,38.34
Aundh,Premium West,3,1625.0,3,1.0,18,7,24,Apartment,2,0,4.8,200.12
Somwar Peth,Central,3,1464.9,3,2.0,0,4,15,Apartment,1,1,6.7,127.32
Undri,Outskirts,1,552.9,2,1.0,8,0,7,Apartment,2,1,3.6,34.75
Magarpatta,Mid-tier,3,1531.1,4,1.0,8,3,8,Apartment,1,0,2.4,195.27
Moshi,Outskirts,1,797.8,1,2.0,5,12,18,Builder Floor,4,1,3.2,47.89
Ravet,Mid-tier,3,1234.5,4,2.0,0,11,23,Apartment,1,1,8.7,110.45
Camp,Central,2,1002.2,3,2.0,2,0,4,Apartment,4,1,3.9,66.59
Boat Club Road,Premium West,3,1416.9,4,1.0,12,20,24,Apartment,1,1,4.9,222.98
Kalyani Nagar,Premium West,1,650.5,2,2.0,3,7,20,Apartment,3,1,9.7,145.07
Narhe,Outskirts,3,1182.0,3,1.0,3,2,6,Apartment,3,1,5.0,92.11
Aundh,Premium West,1,624.3,1,2.0,8,10,15,Villa,0,0,4.3,81.07
Koregaon Park,Premium West,2,1267.3,3,2.0,12,4,13,Apartment,3,1,3.0,258.21
Wagholi,Outskirts,3,1906.4,4,1.0,3,6,6,Apartment,4,1,5.9,138.28
Sinhgad Road,Outskirts,3,1572.6,4,2.0,1,24,28,Apartment,4,0,5.4,124.61
Aundh,Premium West,4,1794.3,5,1.0,5,17,19,Apartment,0,1,4.1,263.48
Magarpatta,Mid-tier,2,1042.9,2,3.0,1,16,29,Apartment,0,1,2.9,96.54
Moshi,Outskirts,4,1888.3,4,1.0,8,11,25,Apartment,3,0,1.7,92.66
Magarpatta,Mid-tier,2,1140.1,2,2.0,1,3,7,Apartment,4,0,9.8,146.13
Balewadi,IT Corridor,2,1047.7,3,2.0,0,8,15,Apartment,2,1,0.6,124.91
Undri,Outskirts,3,1546.9,3,1.0,8,8,16,Apartment,5,1,6.8,130.56
Wagholi,Outskirts,2,1069.1,2,1.0,8,5,26,Builder Floor,5,1,7.7,52.76
Sinhgad Road,Outskirts,2,899.5,3,2.0,18,11,16,Apartment,1,1,1.0,48.15
Undri,Outskirts,1,660.8,1,1.0,12,3,4,Apartment,2,1,5.9,41.56
Wagholi,Outskirts,2,913.2,3,1.0,5,2,4,Apartment,3,1,2.8,63.19
Chinchwad,Outskirts,4,2012.6,4,1.0,0,6,15,Apartment,0,1,7.0,145.89
Narayan Peth,Central,3,1724.8,4,1.0,3,14,16,Apartment,4,1,2.3,156.37
Baner,Premium West,3,1611.3,3,2.0,5,11,11,Apartment,4,0,0.7,377.67
Bavdhan,Mid-tier,3,1786.0,3,1.0,8,9,18,Apartment,4,0,4.6,141.83
Kothrud,IT Corridor,3,1714.9,3,2.0,3,3,17,Apartment,4,1,1.6,256.41
Sinhgad Road,Outskirts,1,474.8,1,2.0,8,7,19,Apartment,3,1,7.1,32.17
Magarpatta,Mid-tier,2,1144.8,2,2.0,5,3,25,Apartment,3,1,14.0,130.53
Swargate,Central,3,1835.5,3,1.0,12,15,15,Apartment,1,1,12.1,132.82
Pashan,Premium West,2,926.4,3,1.0,2,11,14,Builder Floor,3,1,7.7,125.6
Undri,Outskirts,1,709.5,1,2.0,5,20,29,Apartment,4,1,5.8,44.08
Pashan,Premium West,4,2088.6,5,2.0,2,12,13,Apartment,3,1,6.3,391.05
Magarpatta,Mid-tier,2,1229.8,2,1.0,8,2,22,Apartment,3,1,1.0,81.76
Koregaon Park,Premium West,5,2441.3,6,0.0,12,16,20,Apartment,1,1,4.2,472.62
NIBM Road,Outskirts,3,1088.6,3,2.0,25,1,16,Apartment,2,1,5.0,71.0
Narhe,Outskirts,3,1862.1,4,1.0,2,17,17,Villa,5,1,4.3,190.55
Somwar Peth,Central,2,852.1,2,1.0,5,2,15,Apartment,0,1,1.4,66.83
Hinjewadi,Mid-tier,2,1135.4,3,0.0,12,19,21,Apartment,4,1,7.2,80.39
Koregaon Park,Premium West,1,737.2,1,3.0,3,3,24,Apartment,2,1,2.8,118.23
Balewadi,IT Corridor,2,973.0,2,2.0,2,14,19,Apartment,5,1,4.1,116.63
Viman Nagar,IT Corridor,3,1981.7,3,2.0,3,3,11,Apartment,0,1,10.0,224.98
Pashan,Premium West,2,1343.2,2,1.0,5,12,25,Apartment,1,1,0.9,266.68
Wakad,Mid-tier,2,662.2,2,2.0,8,9,19,Apartment,4,1,7.6,55.2
Hadapsar,Outskirts,3,1253.2,3,2.0,5,0,6,Apartment,3,1,0.6,95.67
Koregaon Park,Premium West,1,663.9,1,3.0,5,5,6,Apartment,4,1,2.3,130.74
Camp,Central,2,966.3,3,2.0,2,4,6,Apartment,3,1,8.7,95.17
Baner,Premium West,2,992.8,2,1.0,2,23,27,Apartment,0,1,13.7,126.7
Narhe,Outskirts,1,566.4,1,1.0,12,23,24,Apartment,1,1,4.3,35.91
Sinhgad Road,Outskirts,4,2673.7,5,2.0,8,13,28,Apartment,0,0,7.7,197.02
Ravet,Mid-tier,2,1131.9,3,2.0,1,7,19,Apartment,2,1,1.9,96.44
Hinjewadi,Mid-tier,3,1613.5,3,2.0,1,7,8,Apartment,0,1,5.5,175.69
Balewadi,IT Corridor,5,2836.3,5,1.0,1,6,17,Apartment,4,1,8.3,452.52
Hinjewadi,Mid-tier,1,455.2,1,,3,2,18,Apartment,1,1,5.2,44.73
Aundh,Premium West,4,1954.1,4,1.0,3,19,23,Builder Floor,1,1,6.0,340.84
Narhe,Outskirts,2,1067.4,2,2.0,3,19,27,Apartment,4,1,4.6,62.56
Chinchwad,Outskirts,3,1110.3,4,1.0,0,8,17,Apartment,3,1,9.7,82.12
NIBM Road,Outskirts,2,906.6,2,3.0,3,28,29,Apartment,0,0,0.8,79.1
Sinhgad Road,Outskirts,2,822.7,3,3.0,18,1,26,Apartment,2,1,1.1,32.09
Wagholi,Outskirts,2,1232.7,2,3.0,1,21,27,Apartment,2,1,4.9,78.99
Pashan,Premium West,2,971.7,3,2.0,0,16,18,Villa,5,1,4.7,206.12
NIBM Road,Outskirts,4,2364.0,4,1.0,2,3,4,Apartment,5,1,2.3,272.58
Pashan,Premium West,2,827.1,2,2.0,5,2,9,Apartment,0,1,3.9,175.14
Moshi,Outskirts,3,1416.5,3,1.0,3,8,8,Builder Floor,0,1,1.4,103.2
Magarpatta,Mid-tier,3,1352.5,3,2.0,18,10,12,Apartment,5,1,10.7,131.61
NIBM Road,Outskirts,3,1413.3,3,2.0,8,0,4,Apartment,2,1,9.6,126.34
Moshi,Outskirts,3,1717.0,4,1.0,5,2,12,Apartment,0,1,4.1,101.01
Boat Club Road,Premium West,4,2362.0,4,1.0,8,6,6,Apartment,1,1,1.4,566.27
Kothrud,IT Corridor,3,1337.3,4,1.0,8,3,10,Apartment,1,1,7.9,145.63
Narayan Peth,Central,2,1406.3,2,1.0,1,8,11,Villa,1,1,9.6,178.84
Narhe,Outskirts,3,1879.6,4,2.0,25,0,10,Apartment,3,0,9.2,98.3
Bavdhan,Mid-tier,3,1180.5,4,1.0,8,9,12,Apartment,5,0,8.8,100.65
Kiwale,Outskirts,3,1233.8,4,1.0,2,4,15,Apartment,3,1,9.2,79.09
NIBM Road,Outskirts,3,1222.3,3,3.0,8,0,3,Apartment,2,1,1.1,83.7
Moshi,Outskirts,3,1755.4,3,2.0,0,14,15,Apartment,5,1,8.8,126.12
Hadapsar,Outskirts,3,1731.0,3,1.0,1,1,20,Apartment,2,0,1.3,133.75
Somwar Peth,Central,2,910.1,3,0.0,1,16,17,Apartment,1,1,7.4,78.36
Narhe,Outskirts,2,1319.4,3,0.0,5,2,24,Villa,3,1,3.6,130.29
Kondhwa,Outskirts,3,1702.6,4,2.0,1,5,25,Villa,4,0,3.7,139.38
Boat Club Road,Premium West,2,991.9,2,0.0,5,1,6,Villa,2,0,11.1,264.8
Hadapsar,Outskirts,2,1011.4,2,2.0,1,14,19,Apartment,0,1,5.8,100.95
Balewadi,IT Corridor,1,689.2,2,1.0,2,0,5,Apartment,1,1,1.0,65.87
Hadapsar,Outskirts,1,521.9,1,0.0,8,2,11,Apartment,4,1,2.8,38.3
Viman Nagar,IT Corridor,1,596.4,2,0.0,2,6,6,Apartment,2,1,7.5,82.25
Kalyani Nagar,Premium West,2,939.2,2,2.0,5,8,17,Apartment,3,0,3.1,184.14
Wakad,Mid-tier,2,791.9,2,3.0,5,4,28,Apartment,1,0,3.8,68.0
Narhe,Outskirts,4,2508.8,5,0.0,12,12,12,Apartment,3,1,5.3,134.54
Camp,Central,1,745.7,2,2.0,8,24,27,Apartment,5,0,15.8,39.26
Narhe,Outskirts,3,1582.5,3,1.0,5,2,3,Apartment,4,0,7.6,128.03
Undri,Outskirts,5,2739.9,5,3.0,18,8,13,Villa,1,1,6.7,219.2
Narhe,Outskirts,1,744.7,2,0.0,8,0,7,Apartment,0,1,8.4,47.29
Swargate,Central,2,812.6,3,1.0,3,22,27,Apartment,4,1,13.4,48.92
Wagholi,Outskirts,3,1677.2,3,1.0,12,0,22,Apartment,0,1,1.1,101.83
Viman Nagar,IT Corridor,2,969.4,3,1.0,12,12,16,Apartment,0,1,0.7,91.92
Kondhwa,Outskirts,2,936.9,2,2.0,3,18,18,Apartment,5,0,7.2,61.81
Magarpatta,Mid-tier,2,1168.8,3,2.0,8,0,3,Apartment,3,0,3.3,106.7
Pashan,Premium West,3,1700.8,3,1.0,8,12,24,Builder Floor,1,1,4.5,238.83
Kiwale,Outskirts,2,963.6,2,0.0,2,5,14,Builder Floor,2,0,8.9,61.0
Narhe,Outskirts,5,2571.6,5,1.0,2,12,26,Apartment,2,1,6.7,236.28
Chinchwad,Outskirts,2,926.6,2,0.0,18,3,7,Builder Floor,1,0,10.4,52.06
Shivaji Nagar,Central,3,1365.6,3,1.0,3,1,21,Apartment,2,1,6.4,141.84
Kalyani Nagar,Premium West,3,1618.9,3,3.0,3,7,27,Apartment,2,1,10.8,287.09
Moshi,Outskirts,4,2088.9,5,2.0,1,7,20,Apartment,5,1,5.6,179.09
Moshi,Outskirts,2,914.4,2,1.0,2,8,27,Builder Floor,2,1,4.7,67.82
Hinjewadi,Mid-tier,2,1140.3,3,3.0,3,8,28,Builder Floor,5,1,6.5,105.13
Sinhgad Road,Outskirts,2,1179.3,2,2.0,2,2,5,Apartment,2,0,0.0,91.09
Swargate,Central,2,992.8,2,2.0,0,4,9,Apartment,1,1,7.9,72.34
Magarpatta,Mid-tier,2,1086.4,3,1.0,5,1,28,Apartment,4,1,9.0,88.77
Somwar Peth,Central,3,1577.1,3,0.0,5,5,17,Villa,3,1,2.9,177.32
Baner,Premium West,1,421.0,2,3.0,5,10,11,Apartment,0,0,5.8,66.49
Kondhwa,Outskirts,3,1627.9,3,2.0,8,13,26,Apartment,0,1,9.6,84.97
Boat Club Road,Premium West,3,1504.7,3,3.0,12,4,5,Apartment,3,0,10.9,252.07
Pashan,Premium West,2,1003.5,3,0.0,2,14,23,Apartment,4,0,7.1,230.72
Kalyani Nagar,Premium West,2,872.2,2,,3,15,19,Apartment,2,1,8.2,200.62
Kondhwa,Outskirts,2,1033.6,3,2.0,2,9,10,Apartment,5,1,5.6,73.89
Ravet,Mid-tier,4,1953.1,4,1.0,3,1,20,Apartment,2,1,9.9,156.01
Bavdhan,Mid-tier,3,1588.6,4,2.0,0,4,11,Apartment,4,1,4.0,160.73
Undri,Outskirts,3,1611.1,3,1.0,3,3,29,Apartment,4,1,4.7,118.59
Aundh,Premium West,2,1359.6,3,1.0,5,1,8,Apartment,2,1,2.9,224.23
Viman Nagar,IT Corridor,4,2272.0,4,0.0,3,2,3,Apartment,2,1,2.4,238.73
Hinjewadi,Mid-tier,2,1186.6,3,1.0,12,6,9,Apartment,4,0,3.9,97.88
Sinhgad Road,Outskirts,3,1579.6,3,3.0,5,0,15,Builder Floor,2,1,10.1,79.46
Balewadi,IT Corridor,3,1817.2,4,2.0,12,20,21,Apartment,0,1,1.3,209.85
Undri,Outskirts,2,827.2,2,0.0,5,12,22,Apartment,4,1,0.7,53.71
Wakad,Mid-tier,3,1559.5,3,2.0,8,22,24,Apartment,1,1,7.4,170.92
Kiwale,Outskirts,1,650.2,2,2.0,2,5,8,Apartment,5,0,7.5,42.61
Undri,Outskirts,1,802.1,1,1.0,8,16,17,Builder Floor,3,1,4.5,42.83
Pashan,Premium West,1,568.0,2,3.0,25,4,16,Apartment,4,1,5.2,76.58
Kiwale,Outskirts,2,1037.4,3,3.0,3,11,23,Builder Floor,0,1,3.8,65.76
Bavdhan,Mid-tier,3,1108.2,3,1.0,8,19,21,Builder Floor,1,1,6.6,83.45
Hinjewadi,Mid-tier,3,1591.7,3,2.0,8,1,15,Apartment,4,1,5.2,137.21
Narhe,Outskirts,3,1439.0,3,1.0,12,3,4,Apartment,2,0,8.5,84.87
Kharadi,IT Corridor,3,1734.1,3,1.0,2,7,18,Apartment,3,1,7.6,255.51
Shivaji Nagar,Central,2,1246.8,2,1.0,1,1,15,Apartment,5,1,7.8,126.33
Kiwale,Outskirts,3,1525.8,3,1.0,3,0,11,Apartment,5,0,6.2,82.31
Kiwale,Outskirts,1,655.9,1,2.0,0,3,3,Apartment,3,1,7.6,54.66
Koregaon Park,Premium West,2,1210.5,2,3.0,8,27,28,Apartment,5,1,7.6,250.17
Baner,Premium West,3,1246.8,3,2.0,5,7,12,Apartment,3,0,6.3,222.78
Shivaji Nagar,Central,3,1755.4,3,2.0,3,2,8,Apartment,4,1,5.2,149.41
Koregaon Park,Premium West,1,562.1,2,2.0,3,7,11,Apartment,4,1,2.9,106.57
Aundh,Premium West,2,771.2,2,1.0,2,2,3,Apartment,5,1,7.7,162.98
Chinchwad,Outskirts,4,2187.8,4,1.0,18,3,29,Apartment,5,0,8.8,130.75
Camp,Central,4,1791.8,4,2.0,18,10,12,Villa,4,1,6.2,207.27
Hadapsar,Outskirts,3,1344.3,3,1.0,12,1,25,Apartment,2,1,5.3,93.23
Camp,Central,5,2738.1,6,2.0,12,1,18,Apartment,4,1,4.0,239.48
Camp,Central,4,2005.5,4,1.0,12,3,4,Apartment,5,0,5.0,133.76
Hadapsar,Outskirts,2,1317.9,3,2.0,18,13,22,Builder Floor,2,0,2.4,69.96
Swargate,Central,2,857.9,3,3.0,1,0,5,Apartment,1,1,9.3,54.55
Shivaji Nagar,Central,3,1574.9,3,1.0,0,8,11,Apartment,4,0,5.2,153.25
Hinjewadi,Mid-tier,3,1677.6,3,1.0,2,9,19,Apartment,4,0,9.6,185.93
Camp,Central,2,879.5,2,2.0,25,5,6,Villa,4,0,15.3,61.82
Wagholi,Outskirts,2,1182.9,2,2.0,0,0,26,Apartment,0,1,11.2,68.62
Hadapsar,Outskirts,2,1048.8,3,2.0,0,11,22,Apartment,4,1,1.1,87.81
Bavdhan,Mid-tier,2,774.0,2,1.0,18,1,23,Builder Floor,5,1,9.0,53.4
Camp,Central,2,920.6,3,1.0,8,25,28,Apartment,3,1,1.6,67.02
Bavdhan,Mid-tier,2,926.8,3,1.0,5,1,6,Apartment,1,1,6.6,81.65
Narayan Peth,Central,4,2051.9,4,2.0,5,8,24,Apartment,5,1,9.8,170.78
Camp,Central,1,623.7,2,2.0,3,6,12,Apartment,0,1,12.1,40.01
Wagholi,Outskirts,4,2135.6,5,1.0,0,10,17,Apartment,4,0,5.6,153.17
NIBM Road,Outskirts,1,582.5,1,2.0,25,0,22,Apartment,5,1,6.9,33.58
Ravet,Mid-tier,1,684.9,2,1.0,5,8,11,Apartment,2,0,3.1,54.7
Kalyani Nagar,Premium West,1,574.4,2,2.0,2,1,16,Apartment,1,0,16.3,112.91
Pashan,Premium West,2,1107.5,2,2.0,25,23,25,Apartment,3,1,6.3,123.02
Shivaji Nagar,Central,2,1069.4,2,1.0,8,0,7,Apartment,3,0,8.0,94.41
Wagholi,Outskirts,4,2022.8,4,1.0,2,13,13,Apartment,3,1,7.3,139.37
NIBM Road,Outskirts,4,1656.5,5,2.0,1,4,6,Apartment,0,0,9.9,152.57
Chinchwad,Outskirts,3,1594.7,4,1.0,18,2,15,Apartment,5,1,11.4,98.23
Magarpatta,Mid-tier,2,1068.0,3,2.0,25,11,28,Apartment,3,1,7.5,72.43
Swargate,Central,2,870.6,3,1.0,18,8,14,Apartment,3,0,4.1,67.87
Chinchwad,Outskirts,2,976.8,3,2.0,2,16,27,Builder Floor,2,0,8.3,72.14
Undri,Outskirts,3,1561.0,4,0.0,12,17,17,Apartment,3,0,13.7,81.67
Wagholi,Outskirts,3,1472.7,4,2.0,12,4,7,Apartment,4,1,2.2,96.14
Pashan,Premium West,2,1130.5,2,2.0,1,0,3,Apartment,3,1,3.6,200.57
Narayan Peth,Central,3,1606.2,3,3.0,1,14,23,Apartment,5,0,6.0,148.41
Swargate,Central,3,2088.5,4,2.0,8,2,26,Apartment,2,1,0.6,189.31
Kalyani Nagar,Premium West,2,634.7,3,3.0,1,8,9,Apartment,0,1,7.8,118.06
Hinjewadi,Mid-tier,3,1324.7,3,1.0,1,4,10,Apartment,4,1,16.9,141.33
Wagholi,Outskirts,1,411.8,1,1.0,8,0,3,Apartment,2,0,4.7,17.56
Koregaon Park,Premium West,2,1138.4,2,1.0,1,21,21,Apartment,0,0,4.7,247.41
Undri,Outskirts,1,701.2,1,1.0,3,25,25,Builder Floor,3,1,7.7,42.28
NIBM Road,Outskirts,3,1687.3,3,2.0,5,11,13,Apartment,3,0,0.8,159.69
Ravet,Mid-tier,2,924.2,2,1.0,25,0,7,Apartment,2,1,8.5,54.37
Koregaon Park,Premium West,2,1332.9,2,2.0,5,9,13,Builder Floor,2,1,4.3,302.99
Chinchwad,Outskirts,2,1366.7,2,2.0,8,27,28,Apartment,2,1,6.6,95.22
Boat Club Road,Premium West,2,927.9,3,1.0,1,5,26,Apartment,4,0,5.2,202.45
Kiwale,Outskirts,3,1518.7,3,2.0,2,7,16,Apartment,2,1,5.8,84.54
Hadapsar,Outskirts,4,1810.1,5,1.0,12,3,7,Apartment,0,1,2.9,134.15
Aundh,Premium West,2,979.0,2,2.0,5,0,3,Villa,0,0,1.3,112.4
Camp,Central,3,1648.6,4,0.0,5,24,27,Apartment,2,1,4.0,152.79
Camp,Central,1,589.9,1,1.0,0,21,24,Apartment,4,1,6.6,58.48
Somwar Peth,Central,1,546.2,1,2.0,5,9,10,Apartment,0,0,3.7,50.06
Shivaji Nagar,Central,1,530.8,2,2.0,5,0,4,Apartment,0,1,1.4,44.0
Ravet,Mid-tier,2,1095.7,2,0.0,0,17,19,Apartment,5,1,1.0,110.55
Kharadi,IT Corridor,3,1329.3,3,2.0,18,24,27,Apartment,5,0,4.7,164.38
Shivaji Nagar,Central,2,983.8,3,2.0,3,3,5,Apartment,5,1,2.6,110.21
Kalyani Nagar,Premium West,3,1396.1,4,3.0,12,1,28,Apartment,0,1,7.2,194.97
Kondhwa,Outskirts,3,1356.4,3,3.0,5,1,11,Apartment,1,0,7.9,94.67
Magarpatta,Mid-tier,3,1159.6,3,2.0,3,21,21,Apartment,0,0,0.9,147.71
